Conversation_ID,Date,Time,Agent_name,Department,Answered (Y/N),Resolved,Respond_time,Avg_handeling_time,Satisfaction rating
ID1771,2016-01-31,17:34:00,Jim,Fridge,Y,Y,91.0,179,3.0
ID1772,2016-01-31,17:34:00,Greg,Air Conditioner,Y,Y,121.0,361,2.0
ID1769,2016-01-31,17:08:00,Dan,Fridge,N,N,67.0,237,0.0
ID1770,2016-01-31,17:08:00,Diane,Toaster,Y,Y,78.0,63,4.0
ID1767,2016-01-31,16:56:00,Becky,Washing Machine,Y,Y,58.0,282,5.0
ID1768,2016-01-31,16:56:00,Dan,Television,N,N,67.0,237,0.0
ID1765,2016-01-31,16:20:00,Greg,Television,Y,Y,95.0,301,3.0
ID1766,2016-01-31,16:20:00,Becky,Washing Machine,Y,Y,49.0,118,3.0
ID1761,2016-01-31,16:09:00,Stewart,Washing Machine,Y,Y,103.0,374,4.0
ID1762,2016-01-31,16:09:00,Becky,Washing Machine,Y,Y,81.0,206,2.0
ID1763,2016-01-31,16:09:00,Stewart,Television,Y,Y,48.0,237,5.0
ID1764,2016-01-31,16:09:00,Dan,Television,Y,Y,92.0,361,3.0
ID1759,2016-01-31,15:56:00,Jim,Fridge,Y,Y,50.0,31,2.0
ID1760,2016-01-31,15:56:00,Martha,Fridge,N,N,71.0,226,0.0
ID1757,2016-01-31,15:38:00,Jim,Television,N,N,67.0,231,0.0
ID1758,2016-01-31,15:38:00,Dan,Washing Machine,Y,Y,20.0,79,4.0
ID1755,2016-01-31,15:04:00,Dan,Air Conditioner,Y,Y,24.0,291,1.0
ID1756,2016-01-31,15:04:00,Diane,Television,Y,Y,92.0,148,3.0
ID1753,2016-01-31,15:01:00,Diane,Air Conditioner,Y,Y,113.0,152,1.0
ID1754,2016-01-31,15:01:00,Diane,Television,Y,Y,93.0,139,4.0
ID1751,2016-01-31,14:44:00,Joe,Toaster,Y,Y,37.0,346,4.0
ID1752,2016-01-31,14:44:00,Martha,Television,Y,Y,36.0,86,3.0
ID1745,2016-01-31,14:05:00,Jim,Toaster,Y,Y,124.0,402,5.0
